Partita,Risultato,Numero_maglia,Nome,Gol,Assist,Contrasti,Uno contro uno,Uno contro uno riusciti,Minuti giocati,Posizione,Valutazione,Squadra,Match_winner,Tiri in porta,Tiri fuori,Tiri bloccati,Dribbling tentati,Dribbling tentati riusciti,Salvataggi,Intercetti,Dribbling_subiti,Passaggi effettuati,Precisione_passaggi,Passaggi chiave,Cross,Cross prec.,Palle lunghe,Palle lunghe riusciti,Palle_perse,Falli subiti,Falli,Respinte,Uscite,Vincenti,Duelli di testa vinti,Parate da dentro l'area,Salvataggio sulla linea di porta,Rigori parati,Grossa occasione da rete creata,Autogol,Errore che ha portato al tiro,Falli da rigore commessi,Errori che hanno portato al gol,Rigori sbagliati,Fallo su ultimo uomo,Pali e traverse,Grande occasione da rete mancata,Rigori conquistati
West Bromwich Albion - Swansea City,1-1,19,Jay Rodriguez,1,0,1,18,0.44,83',F,7.7,West Bromwich Albion,Pareggio,2,1,0,3,1.0,0,2,1,22,0.78,1,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,10,Tammy Abraham,1,0,0,14,0.57,90',F,7.5,Swansea City,Pareggio,1,1,0,1,1.0,0,0,2,10,0.55,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,17,Sam Clucas,0,1,0,5,0.4,90',M,7.4,Swansea City,Pareggio,0,0,0,1,1.0,0,0,2,42,0.93,4,5,0.6,1,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,11,Chris Brunt,0,0,2,5,0.8,90',M,7.4,West Bromwich Albion,Pareggio,1,0,0,1,1.0,2,2,0,73,0.83,0,5,0.2,17,0.59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,9,Salomón Rondón,0,1,2,16,0.38,90',F,7.2,West Bromwich Albion,Pareggio,0,1,0,3,0.67,0,0,1,19,0.76,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,26,Ahmed Hegazy,0,0,1,8,0.88,90',D,7.1,West Bromwich Albion,Pareggio,0,0,0,1,1.0,8,0,0,50,0.89,0,0,0,6,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,3,Kieran Gibbs,0,0,2,10,0.5,90',D,7.1,West Bromwich Albion,Pareggio,0,0,0,2,0.5,3,2,0,35,0.77,3,5,0.2,1,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,33,Federico Fernández,0,0,0,7,0.71,90',D,7.0,Swansea City,Pareggio,0,0,4,1,0.0,9,1,0,30,0.78,0,0,0,8,0.38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,16,Martin Olsson,0,0,3,13,0.69,90',D,7.0,Swansea City,Pareggio,0,1,0,3,0.67,1,0,0,21,0.77,0,4,0.0,6,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,6,Alfie Mawson,0,0,1,8,0.75,90',D,6.9,Swansea City,Pareggio,0,0,0,0,0,5,1,0,51,0.79,0,0,0,12,0.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,5,Mike Van der Hoorn,0,0,0,4,0.5,45',D,6.9,Swansea City,Pareggio,0,0,1,3,0.67,2,1,0,26,0.86,0,0,0,4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,25,Craig Dawson,0,0,0,4,0.25,90',D,6.9,West Bromwich Albion,Pareggio,0,0,1,0,0,3,2,1,59,0.90,2,0,0,9,0.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,27,Kyle Bartley,0,0,0,6,0.5,45',D,6.9,Swansea City,Pareggio,0,0,2,0,0,0,1,0,21,0.77,1,0,0,5,0.6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,24,Andy King,0,0,3,9,0.78,61',M,6.9,Swansea City,Pareggio,0,0,0,1,1.0,3,0,1,28,0.80,0,0,0,4,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,14,James McClean,0,0,3,14,0.64,90',M,6.8,West Bromwich Albion,Pareggio,0,0,0,3,1.0,1,2,4,19,0.79,0,5,0.2,1,0.0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,2,Allan Nyom,0,0,0,5,0.4,90',D,6.7,West Bromwich Albion,Pareggio,0,0,0,1,0.0,2,0,0,45,0.83,1,4,0.5,3,0.33,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,26,Kyle Naughton,0,0,2,13,0.46,90',D,6.7,Swansea City,Pareggio,0,1,1,4,0.75,3,1,2,25,0.67,0,2,0.0,3,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,8,Jake Livermore,0,0,1,11,0.27,90',M,6.6,West Bromwich Albion,Pareggio,0,1,0,0,0,1,1,0,38,0.92,0,0,0,3,0.67,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,1,Łukasz Fabiański,0,0,0,0,0,90',G,6.6,Swansea City,Pareggio,0,0,0,0,0,2,0,0,19,0.61,0,0,0,19,0.37,0,0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,14,Tom Carroll,0,0,3,11,0.55,90',M,6.5,Swansea City,Pareggio,0,0,0,0,0,2,0,3,46,0.80,0,0,0,6,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,20,Grzegorz Krychowiak,0,0,0,1,0.0,7',M,6.5,West Bromwich Albion,Pareggio,0,0,0,0,0,0,0,0,1,0.50,0,0,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,4,Sung-Yueng Ki,0,0,0,1,1.0,5',M,6.5,Swansea City,Pareggio,0,0,0,1,1.0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,1,Ben Foster,0,0,0,1,1.0,90',G,6.4,West Bromwich Albion,Pareggio,0,0,0,1,1.0,0,0,0,18,0.62,0,0,0,21,0.48,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,19,André Ayew,0,0,1,12,0.42,85',M,6.3,Swansea City,Pareggio,0,2,0,0,0,0,1,1,21,0.87,0,1,0.0,3,0.67,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
West Bromwich Albion - Swansea City,1-1,12,Nathan Dyer,0,0,0,6,0.0,29',M,6.0,Swansea City,Pareggio,0,0,0,1,0.0,0,0,1,13,0.86,0,1,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion - Swansea City,1-1,10,Matt Phillips,0,0,1,16,0.19,90',M,5.9,West Bromwich Albion,Pareggio,0,1,0,0,0,0,0,4,16,0.72,1,6,0.33,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,1,Jack Butland,0,0,0,1,1.0,90',G,8.1,Stoke City,Pareggio,0,0,0,0,0,6,0,0,10,0.32,0,0,0,31,0.32,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,22,Nathan Redmond,0,0,0,12,0.58,90',M,8.0,Southampton,Pareggio,2,0,0,8,0.88,0,1,0,29,0.87,4,16,0.25,3,1.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,6,Kurt Zouma,0,0,1,10,0.6,90',D,7.5,Stoke City,Pareggio,0,0,1,0,0,15,3,1,16,0.80,0,0,0,8,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,2,Cédric Soares,0,0,1,8,0.25,90',D,7.5,Southampton,Pareggio,2,2,0,0,0,4,0,1,32,0.62,3,11,0.27,12,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,6,Wesley Hoedt,0,0,4,9,0.67,90',D,7.4,Southampton,Pareggio,0,0,0,1,1.0,4,0,1,49,0.79,1,0,0,12,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
